Rainisch G., Undurraga E.A., Chowell G.,	Rainisch G., Undurraga E.A., Chowell G.
Chen Y., Li Z., Zhang Y.-Y., Zhao W.-H., Yu Z.-Y.,	Chen Y., Li Z., Zhang Y.-Y., Zhao W.-H., Yu Z.-Y.
Wierzbicka M., Niemczyk K., Jaworowska E., Burduk P., Sk?adzie? J., Szyfter W., Markowski J.,	Wierzbicka M., Niemczyk K., Jaworowska E., Burduk P., Sk?adzie? J., Szyfter W., Markowski J.
Shamsi A., Mohammad T., Anwar S., AlAjmi M.F., Hussain A., Rehman M.T., Islam A., Hassan M.I.,	Shamsi A., Mohammad T., Anwar S., AlAjmi M.F., Hussain A., Rehman M.T., Islam A., Hassan M.I.
Li Y., Zhang Z., Yang L., Lian X., Xie Y., Li S., Xin S., Cao P., Lu J.,	Li Y., Zhang Z., Yang L., Lian X., Xie Y., Li S., Xin S., Cao P., Lu J.
Jaimes J.A., Millet J.K., Whittaker G.R.,	Jaimes J.A., Millet J.K., Whittaker G.R.
Li J.J.,	Li J.J.
Brojakowska A., Narula J., Shimony R., Bander J.,	Brojakowska A., Narula J., Shimony R., Bander J.
Cheung S.S.L., Wong C.Y.K., Chan J.C.K., Chan C.K.M., Lam N.M., Yuen H.K.L., Wong V.W.Y., Tsang C.W., Tham C.C.Y.,	Cheung S.S.L., Wong C.Y.K., Chan J.C.K., Chan C.K.M., Lam N.M., Yuen H.K.L., Wong V.W.Y., Tsang C.W., Tham C.C.Y.
Cramton P., Ockenfels A., Roth A.E., Wilson R.B.,	Cramton P., Ockenfels A., Roth A.E., Wilson R.B.
Bikdeli B., Madhavan M.V., Jimenez D., Chuich T., Dreyfus I., Driggin E., Nigoghossian C.D., Ageno W., Madjid M., Guo Y., Tang L.V., Hu Y., Giri J., Cushman M., Quéré I., Dimakakos E.P., Gibson C.M., Lippi G., Favaloro E.J., Fareed J., Caprini J.A., Tafur A.J., Burton J.R., Francese D.P., Wang E.Y., Falanga A., McLintock C., Hunt B.J., Spyropoulos A.C., Barnes G.D., Eikelboom J.W., Weinberg I., Schulman S., Carrier M., Piazza G., Beckman J.A., Steg P.G., Stone G.W., Rosenkranz S., Goldhaber S.Z., Parikh S.A., Monreal M., Krumholz H.M., Konstantinides S.V., Weitz J.I., Lip G.Y.H., Global COVID-19 Thrombosis Collaborative Group, Endorsed by the ISTH, NATF, ESVM, and the IUA, Supported by the ESC Working Group on Pulmonary Circulation and Right Ventricular Function,	Bikdeli B., Madhavan M.V., Jimenez D., Chuich T., Dreyfus I., Driggin E., Nigoghossian C.D., Ageno W., Madjid M., Guo Y., Tang L.V., Hu Y., Giri J., Cushman M., Quéré I., Dimakakos E.P., Gibson C.M., Lippi G., Favaloro E.J., Fareed J., Caprini J.A., Tafur A.J., Burton J.R., Francese D.P., Wang E.Y., Falanga A., McLintock C., Hunt B.J., Spyropoulos A.C., Barnes G.D., Eikelboom J.W., Weinberg I., Schulman S., Carrier M., Piazza G., Beckman J.A., Steg P.G., Stone G.W., Rosenkranz S., Goldhaber S.Z., Parikh S.A., Monreal M., Krumholz H.M., Konstantinides S.V., Weitz J.I., Lip G.Y.H., Global COVID-19 Thrombosis Collaborative Group, Endorsed by the ISTH, NATF, ESVM, and the IUA, Supported by the ESC Working Group on Pulmonary Circulation and Right Ventricular Function
Asadi-Pooya A.A., Simani L.,	Asadi-Pooya A.A., Simani L.
Tan W., Aboulhosn J.,	Tan W., Aboulhosn J.
Lanza K., Perez L.G., Costa L.B., Cordeiro T.M., Palmeira V.A., Ribeiro V.T., Simões E Silva A.C.,	Lanza K., Perez L.G., Costa L.B., Cordeiro T.M., Palmeira V.A., Ribeiro V.T., Simões E Silva A.C.
Gudbjartsson D.F., Helgason A., Jonsson H., Magnusson O.T., Melsted P., Norddahl G.L., Saemundsdottir J., Sigurdsson A., Sulem P., Agustsdottir A.B., Eiriksdottir B., Fridriksdottir R., Gardarsdottir E.E., Georgsson G., Gretarsdottir O.S., Gudmundsson K.R., Gunnarsdottir T.R., Gylfason A., Holm H., Jensson B.O., Jonasdottir A., Jonsson F., Josefsdottir K.S., Kristjansson T., Magnusdottir D.N., le Roux L., Sigmundsdottir G., Sveinbjornsson G., Sveinsdottir K.E., Sveinsdottir M., Thorarensen E.A., Thorbjornsson B., Löve A., Masson G., Jonsdottir I., Möller A.D., Gudnason T., Kristinsson K.G., Thorsteinsdottir U., Stefansson K.,	Gudbjartsson D.F., Helgason A., Jonsson H., Magnusson O.T., Melsted P., Norddahl G.L., Saemundsdottir J., Sigurdsson A., Sulem P., Agustsdottir A.B., Eiriksdottir B., Fridriksdottir R., Gardarsdottir E.E., Georgsson G., Gretarsdottir O.S., Gudmundsson K.R., Gunnarsdottir T.R., Gylfason A., Holm H., Jensson B.O., Jonasdottir A., Jonsson F., Josefsdottir K.S., Kristjansson T., Magnusdottir D.N., le Roux L., Sigmundsdottir G., Sveinbjornsson G., Sveinsdottir K.E., Sveinsdottir M., Thorarensen E.A., Thorbjornsson B., Löve A., Masson G., Jonsdottir I., Möller A.D., Gudnason T., Kristinsson K.G., Thorsteinsdottir U., Stefansson K.
Jin Z., Du X., Xu Y., Deng Y., Liu M., Zhao Y., Zhang B., Li X., Zhang L., Peng C., Duan Y., Yu J., Wang L., Yang K., Liu F., Jiang R., Yang X., You T., Liu X., Yang X., Bai F., Liu H., Liu X., Guddat L.W., Xu W., Xiao G., Qin C., Shi Z., Jiang H., Rao Z., Yang H.,	Jin Z., Du X., Xu Y., Deng Y., Liu M., Zhao Y., Zhang B., Li X., Zhang L., Peng C., Duan Y., Yu J., Wang L., Yang K., Liu F., Jiang R., Yang X., You T., Liu X., Yang X., Bai F., Liu H., Liu X., Guddat L.W., Xu W., Xiao G., Qin C., Shi Z., Jiang H., Rao Z., Yang H.
Li Y., Li H., Zhou L.,	Li Y., Li H., Zhou L.
Segar S., Bouland D., Torriani F., Kwak K., Asudani D., Taplitz R., Gupta V.,	Segar S., Bouland D., Torriani F., Kwak K., Asudani D., Taplitz R., Gupta V.
Grein J., Ohmagari N., Shin D., Diaz G., Asperges E., Castagna A., Feldt T., Green G., Green M.L., Lescure F.-X., Nicastri E., Oda R., Yo K., Quiros-Roldan E., Studemeister A., Redinski J., Ahmed S., Bernett J., Chelliah D., Chen D., Chihara S., Cohen S.H., Cunningham J., D'Arminio Monforte A., Ismail S., Kato H., Lapadula G., L'Her E., Maeno T., Majumder S., Massari M., Mora-Rillo M., Mutoh Y., Nguyen D., Verweij E., Zoufaly A., Osinusi A.O., DeZure A., Zhao Y., Zhong L., Chokkalingam A., Elboudwarej E., Telep L., Timbs L., Henne I., Sellers S., Cao H., Tan S.K., Winterbourne L., Desai P., Mera R., Gaggar A., Myers R.P., Brainard D.M., Childs R., Flanigan T.,	Grein J., Ohmagari N., Shin D., Diaz G., Asperges E., Castagna A., Feldt T., Green G., Green M.L., Lescure F.-X., Nicastri E., Oda R., Yo K., Quiros-Roldan E., Studemeister A., Redinski J., Ahmed S., Bernett J., Chelliah D., Chen D., Chihara S., Cohen S.H., Cunningham J., D'Arminio Monforte A., Ismail S., Kato H., Lapadula G., L'Her E., Maeno T., Majumder S., Massari M., Mora-Rillo M., Mutoh Y., Nguyen D., Verweij E., Zoufaly A., Osinusi A.O., DeZure A., Zhao Y., Zhong L., Chokkalingam A., Elboudwarej E., Telep L., Timbs L., Henne I., Sellers S., Cao H., Tan S.K., Winterbourne L., Desai P., Mera R., Gaggar A., Myers R.P., Brainard D.M., Childs R., Flanigan T.
Johnson N.F., Velásquez N., Restrepo N.J., Leahy R., Gabriel N., El Oud S., Zheng M., Manrique P., Wuchty S., Lupu Y.,	Johnson N.F., Velásquez N., Restrepo N.J., Leahy R., Gabriel N., El Oud S., Zheng M., Manrique P., Wuchty S., Lupu Y.
Ong E.Z., Chan Y.F.Z., Leong W.Y., Lee N.M.Y., Kalimuddin S., Haja Mohideen S.M., Chan K.S., Tan A.T., Bertoletti A., Ooi E.E., Low J.G.H.,	Ong E.Z., Chan Y.F.Z., Leong W.Y., Lee N.M.Y., Kalimuddin S., Haja Mohideen S.M., Chan K.S., Tan A.T., Bertoletti A., Ooi E.E., Low J.G.H.
Messina F., Giombini E., Agrati C., Vairo F., Ascoli Bartoli T., Al Moghazi S., Piacentini M., Locatelli F., Kobinger G., Maeurer M., Zumla A., Capobianchi M.R., Lauria F.N., Ippolito G., COVID 19 INMI Network Medicine for IDs Study Group,	Messina F., Giombini E., Agrati C., Vairo F., Ascoli Bartoli T., Al Moghazi S., Piacentini M., Locatelli F., Kobinger G., Maeurer M., Zumla A., Capobianchi M.R., Lauria F.N., Ippolito G., COVID 19 INMI Network Medicine for IDs Study Group
Chen H., Wu X., Wang W., Wang Q.,	Chen H., Wu X., Wang W., Wang Q.
Park A., Iwasaki A.,	Park A., Iwasaki A.
Liu M., Cheng S.-Z., Xu K.-W., Yang Y., Zhu Q.-T., Zhang H., Yang D.-Y., Cheng S.-Y., Xiao H., Wang J.-W., Yao H.-R., Cong Y.-T., Zhou Y.-Q., Peng S., Kuang M., Hou F.-F., Cheng K.K., Xiao H.-P.,	Liu M., Cheng S.-Z., Xu K.-W., Yang Y., Zhu Q.-T., Zhang H., Yang D.-Y., Cheng S.-Y., Xiao H., Wang J.-W., Yao H.-R., Cong Y.-T., Zhou Y.-Q., Peng S., Kuang M., Hou F.-F., Cheng K.K., Xiao H.-P.
Hendren N.S., Drazner M.H., Bozkurt B., Cooper L.T., Jr,	Hendren N.S., Drazner M.H., Bozkurt B., Cooper L.T., Jr
Fisk M., Livingstone A., Pit S.W.,	Fisk M., Livingstone A., Pit S.W.
Fantini M.P., Reno C., Biserni G.B., Savoia E., Lanari M.,	Fantini M.P., Reno C., Biserni G.B., Savoia E., Lanari M.
Karamouzos V., Fligou F., Gogos C., Velissaris D.,	Karamouzos V., Fligou F., Gogos C., Velissaris D.
Eckhardt C.M., Cummings M.J., Rajagopalan K.N., Borden S., Bitan Z.C., Wolf A., Kantor A., Briese T., Meyer B.J., Jacobson S.D., Scotto D., Mishra N., Philip N.M., Stotler B.A., Schwartz J., Shaz B., Spitalnik S.L., Eisenberg A., Hod E.A., Justman J., Cheung K., Lipkin W.I., O'Donnell M.R.,	Eckhardt C.M., Cummings M.J., Rajagopalan K.N., Borden S., Bitan Z.C., Wolf A., Kantor A., Briese T., Meyer B.J., Jacobson S.D., Scotto D., Mishra N., Philip N.M., Stotler B.A., Schwartz J., Shaz B., Spitalnik S.L., Eisenberg A., Hod E.A., Justman J., Cheung K., Lipkin W.I., O'Donnell M.R.
Chaccour C., Ruiz-Castillo P., Richardson M.-A., Moncunill G., Casellas A., Carmona-Torre F., Giráldez M., Mota J.S., Yuste J.R., Azanza J.R., Fernández M., Reina G., Dobaño C., Brew J., Sadaba B., Hammann F., Rabinovich R.,	Chaccour C., Ruiz-Castillo P., Richardson M.-A., Moncunill G., Casellas A., Carmona-Torre F., Giráldez M., Mota J.S., Yuste J.R., Azanza J.R., Fernández M., Reina G., Dobaño C., Brew J., Sadaba B., Hammann F., Rabinovich R.
Pastorino B., Touret F., Gilles M., Luciani L., de Lamballerie X., Charrel R.N.,	Pastorino B., Touret F., Gilles M., Luciani L., de Lamballerie X., Charrel R.N.
Opatz T., Senn-Bilfinger J., Richert C.,	Opatz T., Senn-Bilfinger J., Richert C.
Faqihi F., Alharthy A., Alodat M., Asad D., Aletreby W., Kutsogiannis D.J., Brindley P.G., Karakitsos D.,	Faqihi F., Alharthy A., Alodat M., Asad D., Aletreby W., Kutsogiannis D.J., Brindley P.G., Karakitsos D.
Shanes E.D., Mithal L.B., Otero S., Azad H.A., Miller E.S., Goldstein J.A.,	Shanes E.D., Mithal L.B., Otero S., Azad H.A., Miller E.S., Goldstein J.A.
Quaresima V., Naldini M.M., Cirillo D.M.,	Quaresima V., Naldini M.M., Cirillo D.M.
Hanney S.R., Wooding S., Sussex J., Grant J.,	Hanney S.R., Wooding S., Sussex J., Grant J.
Calderón J.M., Zerón H.M., Padmanabhan S.,	Calderón J.M., Zerón H.M., Padmanabhan S.
Jeong H.G., Lee Y., Song K.H., Hwang I.C., Kim E.S., Cho Y.J.,	Jeong H.G., Lee Y., Song K.H., Hwang I.C., Kim E.S., Cho Y.J.
Goyal B., Goyal D.,	Goyal B., Goyal D.
Andreakos E., Tsiodras S.,	Andreakos E., Tsiodras S.
Pettit S.D., Jerome K.R., Rouquié D., Mari B., Barbry P., Kanda Y., Matsumoto M., Hester S., Wehmas L., Botten J.W., Bruce E.A.,	Pettit S.D., Jerome K.R., Rouquié D., Mari B., Barbry P., Kanda Y., Matsumoto M., Hester S., Wehmas L., Botten J.W., Bruce E.A.
Li Y., Jiao N., Zhu L., Cheng S., Zhu R., Lan P.,	Li Y., Jiao N., Zhu L., Cheng S., Zhu R., Lan P.
Mathur G., Mathur S.,	Mathur G., Mathur S.
Wensing M., Sales A., Armstrong R., Wilson P.,	Wensing M., Sales A., Armstrong R., Wilson P.
Miyasaka M.,	Miyasaka M.
Hansen D.H., Baandrup L., Hageman I.,	Hansen D.H., Baandrup L., Hageman I.
Pericàs J.M., Hernandez-Meneses M., Sheahan T.P., Quintana E., Ambrosioni J., Sandoval E., Falces C., Marcos M.A., Tuset M., Vilella A., Moreno A., Miro J.M., Hospital Clinic Cardiovascular Infections Study Group,	Pericàs J.M., Hernandez-Meneses M., Sheahan T.P., Quintana E., Ambrosioni J., Sandoval E., Falces C., Marcos M.A., Tuset M., Vilella A., Moreno A., Miro J.M., Hospital Clinic Cardiovascular Infections Study Group
Zhou R.,	Zhou R.
Anker S.D., Butler J., Khan M.S., Abraham W.T., Bauersachs J., Bocchi E., Bozkurt B., Braunwald E., Chopra V.K., Cleland J.G., Ezekowitz J., Filippatos G., Friede T., Hernandez A.F., Lam C.S.P., Lindenfeld J., McMurray J.J.V., Mehra M., Metra M., Packer M., Pieske B., Pocock S.J., Ponikowski P., Rosano G.M.C., Teerlink J.R., Tsutsui H., Van Veldhuisen D.J., Verma S., Voors A.A., Wittes J., Zannad F., Zhang J., Seferovic P., Coats A.J.S.,	Anker S.D., Butler J., Khan M.S., Abraham W.T., Bauersachs J., Bocchi E., Bozkurt B., Braunwald E., Chopra V.K., Cleland J.G., Ezekowitz J., Filippatos G., Friede T., Hernandez A.F., Lam C.S.P., Lindenfeld J., McMurray J.J.V., Mehra M., Metra M., Packer M., Pieske B., Pocock S.J., Ponikowski P., Rosano G.M.C., Teerlink J.R., Tsutsui H., Van Veldhuisen D.J., Verma S., Voors A.A., Wittes J., Zannad F., Zhang J., Seferovic P., Coats A.J.S.
Jureka A.S., Silvas J.A., Basler C.F.,	Jureka A.S., Silvas J.A., Basler C.F.
Burstyn I., Goldstein N.D., Gustafson P.,	Burstyn I., Goldstein N.D., Gustafson P.
Struwe W., Emmott E., Bailey M., Sharon M., Sinz A., Corrales F.J., Thalassinos K., Braybrook J., Mills C., Barran P., COVID-19 MS Coalition,	Struwe W., Emmott E., Bailey M., Sharon M., Sinz A., Corrales F.J., Thalassinos K., Braybrook J., Mills C., Barran P., COVID-19 MS Coalition
Kim S., Choi S., Ko Y., Ki M., Jung E.,	Kim S., Choi S., Ko Y., Ki M., Jung E.
COVID-19 National Incident Room Surveillance Team,	COVID-19 National Incident Room Surveillance Team
Li C., Luo F., Wu B.,	Li C., Luo F., Wu B.
Azoulay É., Beloucif S., Guidet B., Pateron D., Vivien B., Le Dorze M.,	Azoulay É., Beloucif S., Guidet B., Pateron D., Vivien B., Le Dorze M.
Wang J., Yang Q., Zhang P., Sheng J., Zhou J., Qu T.,	Wang J., Yang Q., Zhang P., Sheng J., Zhou J., Qu T.
Wu Z., Hu R., Zhang C., Ren W., Yu A., Zhou X.,	Wu Z., Hu R., Zhang C., Ren W., Yu A., Zhou X.
Lyngbakken M.N., Berdal J.-E., Eskesen A., Kvale D., Olsen I.C., Rangberg A., Jonassen C.M., Omland T., Røsjø H., Dalgard O.,	Lyngbakken M.N., Berdal J.-E., Eskesen A., Kvale D., Olsen I.C., Rangberg A., Jonassen C.M., Omland T., Røsjø H., Dalgard O.
Hu Z., Yang M., Xie C.,	Hu Z., Yang M., Xie C.
Arisan E.D., Dart A., Grant G.H., Arisan S., Cuhadaroglu S., Lange S., Uysal-Onganer P.,	Arisan E.D., Dart A., Grant G.H., Arisan S., Cuhadaroglu S., Lange S., Uysal-Onganer P.
Chang F.-Y., Chen H.-C., Chen P.-J., Ho M.-S., Hsieh S.-L., Lin J.-C., Liu F.-T., Sytwu H.-K.,	Chang F.-Y., Chen H.-C., Chen P.-J., Ho M.-S., Hsieh S.-L., Lin J.-C., Liu F.-T., Sytwu H.-K.
Lutz C., Maher L., Lee C., Kang W.,	Lutz C., Maher L., Lee C., Kang W.
Huynh T., Wang H., Luan B.,	Huynh T., Wang H., Luan B.
Malhotra A., Ernest D., Rogers B.A., Haylock D., Watt A., Moeneclaey G., Jenkin G.,	Malhotra A., Ernest D., Rogers B.A., Haylock D., Watt A., Moeneclaey G., Jenkin G.
Ghosh A.K., Brindisi M., Shahabi D., Chapman M.E., Mesecar A.D.,	Ghosh A.K., Brindisi M., Shahabi D., Chapman M.E., Mesecar A.D.
Heneka M.T., Golenbock D., Latz E., Morgan D., Brown R.,	Heneka M.T., Golenbock D., Latz E., Morgan D., Brown R.
Morley J., Cowls J., Taddeo M., Floridi L.,	Morley J., Cowls J., Taddeo M., Floridi L.
Bilinska K., Jakubowska P., Von Bartheld C.S., Butowt R.,	Bilinska K., Jakubowska P., Von Bartheld C.S., Butowt R.
Salvatori G., Luberto L., Maffei M., Aurisicchio L., Roscilli G., Palombo F., Marra E.,	Salvatori G., Luberto L., Maffei M., Aurisicchio L., Roscilli G., Palombo F., Marra E.
Barnabas R.V., Brown E., Bershteyn A., Miller R.S., Wener M., Celum C., Wald A., Chu H., Wesche D., Baeten J.M., Hydroxychloroquine COVID-19 PEP Study Team,	Barnabas R.V., Brown E., Bershteyn A., Miller R.S., Wener M., Celum C., Wald A., Chu H., Wesche D., Baeten J.M., Hydroxychloroquine COVID-19 PEP Study Team
García I.G., Rodriguez-Rubio M., Mariblanca A.R., de Soto L.M., García L.D., Villatoro J.M., Parada J.Q., Meseguer E.S., Rosales M.J., González J., Arribas J.R., Carcas A.J., de la Oliva P., Borobia A.M.,	García I.G., Rodriguez-Rubio M., Mariblanca A.R., de Soto L.M., García L.D., Villatoro J.M., Parada J.Q., Meseguer E.S., Rosales M.J., González J., Arribas J.R., Carcas A.J., de la Oliva P., Borobia A.M.
Shi J., Li Y., Zhou X., Zhang Q., Ye X., Wu Z., Jiang X., Yu H., Shao L., Ai J.-W., Zhang H., Xu B., Sun F., Zhang W.,	Shi J., Li Y., Zhou X., Zhang Q., Ye X., Wu Z., Jiang X., Yu H., Shao L., Ai J.-W., Zhang H., Xu B., Sun F., Zhang W.
Lammers M.J.W., Lea J., Westerberg B.D.,	Lammers M.J.W., Lea J., Westerberg B.D.
Liu B.M., Yang Q.Q., Zhao L.Y., Xie W., Si X.Y.,	Liu B.M., Yang Q.Q., Zhao L.Y., Xie W., Si X.Y.
Tariq A., Lee Y., Roosa K., Blumberg S., Yan P., Ma S., Chowell G.,	Tariq A., Lee Y., Roosa K., Blumberg S., Yan P., Ma S., Chowell G.
Irvani S.S.N., Golmohammadi M., Pourhoseingholi M.A., Shokouhi S., Darazam I.A.,	Irvani S.S.N., Golmohammadi M., Pourhoseingholi M.A., Shokouhi S., Darazam I.A.
Toubiana J., Poirault C., Corsia A., Bajolle F., Fourgeaud J., Angoulvant F., Debray A., Basmaci R., Salvador E., Biscardi S., Frange P., Chalumeau M., Casanova J.-L., Cohen J.F., Allali S.,	Toubiana J., Poirault C., Corsia A., Bajolle F., Fourgeaud J., Angoulvant F., Debray A., Basmaci R., Salvador E., Biscardi S., Frange P., Chalumeau M., Casanova J.-L., Cohen J.F., Allali S.
Sarac N.J., Sarac B.A., Schoenbrunner A.R., Janis J.E., Harrison R.K., Phieffer L.S., Quatman C.E., Ly T.V.,	Sarac N.J., Sarac B.A., Schoenbrunner A.R., Janis J.E., Harrison R.K., Phieffer L.S., Quatman C.E., Ly T.V.
Rilinger J., Kern W.V., Duerschmied D., Supady A., Bode C., Staudacher D.L., Wengenmayer T.,	Rilinger J., Kern W.V., Duerschmied D., Supady A., Bode C., Staudacher D.L., Wengenmayer T.
Cuadrado-Lavín A., Olmos J.M., Cifrian J.M., Gimenez T., Gandarillas M.A., García-Saiz M., Rebollo M.H., Martínez-Taboada V., López-Hoyos M., Fariñas M.C., Crespo J.,	Cuadrado-Lavín A., Olmos J.M., Cifrian J.M., Gimenez T., Gandarillas M.A., García-Saiz M., Rebollo M.H., Martínez-Taboada V., López-Hoyos M., Fariñas M.C., Crespo J.
Stadnytskyi V., Bax C.E., Bax A., Anfinrud P.,	Stadnytskyi V., Bax C.E., Bax A., Anfinrud P.
Rosales-Mendoza S.,	Rosales-Mendoza S.
Tomar B., Anders H.-J., Desai J., Mulay S.R.,	Tomar B., Anders H.-J., Desai J., Mulay S.R.
Hase R., Kurita T., Muranaka E., Sasazawa H., Mito H., Yano Y.,	Hase R., Kurita T., Muranaka E., Sasazawa H., Mito H., Yano Y.
Loh M., Iyengar K., Loh W.Y.C.,	Loh M., Iyengar K., Loh W.Y.C.
Poland G.A.,	Poland G.A.
Cheng M.P., Papenburg J., Desjardins M., Kanjilal S., Quach C., Libman M., Dittrich S., Yansouni C.P.,	Cheng M.P., Papenburg J., Desjardins M., Kanjilal S., Quach C., Libman M., Dittrich S., Yansouni C.P.
Wang X., Zhou Y., Jiang N., Zhou Q., Ma W.-L.,	Wang X., Zhou Y., Jiang N., Zhou Q., Ma W.-L.
Yoshimoto F.K.,	Yoshimoto F.K.
Dong R., Pei S., Yin C., He R.L., Yau S.S.-T.,	Dong R., Pei S., Yin C., He R.L., Yau S.S.-T.
Bain W., Lee J.S., Watson A.M., Stitt-Fischer M.S.,	Bain W., Lee J.S., Watson A.M., Stitt-Fischer M.S.
Kumar K., Prakash A.A., Gangasagara S.B., Sujatha Rathod B.L., Ravi K., Rangaiah A., Shankar S.M., Basawarajappa S.G., Bhushan S., Neeraja T.G., Khandenahalli S., Swetha M., Gupta P., Sampritha U.C., Prasad G.N.S., Jayanthi C.R.,	Kumar K., Prakash A.A., Gangasagara S.B., Sujatha Rathod B.L., Ravi K., Rangaiah A., Shankar S.M., Basawarajappa S.G., Bhushan S., Neeraja T.G., Khandenahalli S., Swetha M., Gupta P., Sampritha U.C., Prasad G.N.S., Jayanthi C.R.
Liu Z., Xiao X., Wei X., Li J., Yang J., Tan H., Zhu J., Zhang Q., Wu J., Liu L.,	Liu Z., Xiao X., Wei X., Li J., Yang J., Tan H., Zhu J., Zhang Q., Wu J., Liu L.
Li H., Xue Q., Xu X.,	Li H., Xue Q., Xu X.
Muldoon K.M., Fowler K.B., Pesch M.H., Schleiss M.R.,	Muldoon K.M., Fowler K.B., Pesch M.H., Schleiss M.R.
Li H., Zhou Y., Zhang M., Wang H., Zhao Q., Liu J.,	Li H., Zhou Y., Zhang M., Wang H., Zhao Q., Liu J.
Uhteg K., Jarrett J., Richards M., Howard C., Morehead E., Geahr M., Gluck L., Hanlon A., Ellis B., Kaur H., Simner P., Carroll K.C., Mostafa H.H.,	Uhteg K., Jarrett J., Richards M., Howard C., Morehead E., Geahr M., Gluck L., Hanlon A., Ellis B., Kaur H., Simner P., Carroll K.C., Mostafa H.H.
Rahman H., Carter I., Basile K., Donovan L., Kumar S., Tran T., Ko D., Alderson S., Sivaruban T., Eden J.-S., Rockett R., O'Sullivan M.V., Sintchenko V., Chen S.C.-A., Maddocks S., Dwyer D.E., Kok J.,	Rahman H., Carter I., Basile K., Donovan L., Kumar S., Tran T., Ko D., Alderson S., Sivaruban T., Eden J.-S., Rockett R., O'Sullivan M.V., Sintchenko V., Chen S.C.-A., Maddocks S., Dwyer D.E., Kok J.
Yan C., Cui J., Huang L., Du B., Chen L., Xue G., Li S., Zhang W., Zhao L., Sun Y., Yao H., Li N., Zhao H., Feng Y., Liu S., Zhang Q., Liu D., Yuan J.,	Yan C., Cui J., Huang L., Du B., Chen L., Xue G., Li S., Zhang W., Zhao L., Sun Y., Yao H., Li N., Zhao H., Feng Y., Liu S., Zhang Q., Liu D., Yuan J.
Liu R., Han H., Liu F., Lv Z., Wu K., Liu Y., Feng Y., Zhu C.,	Liu R., Han H., Liu F., Lv Z., Wu K., Liu Y., Feng Y., Zhu C.
Mendoza E.J., Manguiat K., Wood H., Drebot M.,	Mendoza E.J., Manguiat K., Wood H., Drebot M.
Tsuji M.,	Tsuji M.
Rossi F., Tortora C., Argenziano M., Di Paola A., Punzo F.,	Rossi F., Tortora C., Argenziano M., Di Paola A., Punzo F.
Li X., Zai J., Zhao Q., Nie Q., Li Y., Foley B.T., Chaillon A.,	Li X., Zai J., Zhao Q., Nie Q., Li Y., Foley B.T., Chaillon A.
Khailany R.A., Safdar M., Ozaslan M.,	Khailany R.A., Safdar M., Ozaslan M.
Neerukonda S.N., Katneni U.,	Neerukonda S.N., Katneni U.
Asadollahi-Amin A., Hasibi M., Ghadimi F., Rezaei H., SeyedAlinaghi S.,	Asadollahi-Amin A., Hasibi M., Ghadimi F., Rezaei H., SeyedAlinaghi S.
Mukherjee S., Tworowski D., Detroja R., Mukherjee S.B., Frenkel-Morgenstern M.,	Mukherjee S., Tworowski D., Detroja R., Mukherjee S.B., Frenkel-Morgenstern M.
Kim S.-J., Nguyen V.-G., Park Y.-H., Park B.-K., Chung H.-C.,	Kim S.-J., Nguyen V.-G., Park Y.-H., Park B.-K., Chung H.-C.
Parhar H.S., Tasche K., Brody R.M., Weinstein G.S., O'Malley B.W., Jr., Shanti R.M., Newman J.G.,	Parhar H.S., Tasche K., Brody R.M., Weinstein G.S., O'Malley B.W., Jr., Shanti R.M., Newman J.G.
Bimonte S., Crispo A., Amore A., Celentano E., Cuomo A., Cascella M.,	Bimonte S., Crispo A., Amore A., Celentano E., Cuomo A., Cascella M.
Ratnarathon A.C., Pongpirul K., Pongpirul W.A., Charoenpong L., Prasithsirikul W.,	Ratnarathon A.C., Pongpirul K., Pongpirul W.A., Charoenpong L., Prasithsirikul W.
Yi C., Sun X., Ye J., Ding L., Liu M., Yang Z., Lu X., Zhang Y., Ma L., Gu W., Qu A., Xu J., Shi Z., Ling Z., Sun B.,	Yi C., Sun X., Ye J., Ding L., Liu M., Yang Z., Lu X., Zhang Y., Ma L., Gu W., Qu A., Xu J., Shi Z., Ling Z., Sun B.
Kandeel M., Ibrahim A., Fayez M., Al-Nazawi M.,	Kandeel M., Ibrahim A., Fayez M., Al-Nazawi M.
Barbosa R.D.M., Fernandes M.A.C.,	Barbosa R.D.M., Fernandes M.A.C.
Infusino F., Marazzato M., Mancone M., Fedele F., Mastroianni C.M., Severino P., Ceccarelli G., Santinelli L., Cavarretta E., Marullo A.G.M., Miraldi F., Carnevale R., Nocella C., Biondi-Zoccai G., Pagnini C., Schiavon S., Pugliese F., Frati G., D’Ettorre G.,	Infusino F., Marazzato M., Mancone M., Fedele F., Mastroianni C.M., Severino P., Ceccarelli G., Santinelli L., Cavarretta E., Marullo A.G.M., Miraldi F., Carnevale R., Nocella C., Biondi-Zoccai G., Pagnini C., Schiavon S., Pugliese F., Frati G., D’Ettorre G.
